timestamp,id,bM,bH,b_prime_H,forg_prob,rep_prob,t_total,t_QKD_Bob,t_QKD_Charlie,t_signatures_total,t_single_signature,mode
2026-08-27_15-57-40,251174746,800,33,21,1.862645149230957e-07,0.0008258819580078125,4.160612833002233,1.932815166997898,1.869655624999723,0.35277312499965774,0.35264325000025565,hwsim
2026-08-28_12-42-19,511869348,800,33,21,1.862645149230957e-07,0.0008258819580078125,4.102247875001922,1.881002707996231,1.876333332998911,0.33957679200102575,0.339445292003802,hwsim
2026-08-28_12-45-13,953195655,800,33,21,1.862645149230957e-07,0.0008258819580078125,4.179310207997332,1.9640000419967691,1.8678815829989617,0.341655834003177,0.3415266669981065,hwsim
2026-08-28_16-08-55,754983324,800,33,21,1.862645149230957e-07,0.0008258819580078125,4.202726957999403,1.8751167089940282,1.9374014580098446,0.3843469579878729,0.3842121670022607,hwsim
2026-08-28_16-19-26,745642134,800,33,21,1.862645149230957e-07,0.0008258819580078125,4.235036583006149,1.9618111659947317,1.8888937500014435,0.37827454099897295,0.37810291700589005,hwsim
2026-08-28_16-20-22,912274197,800,33,21,1.862645149230957e-07,0.0008258819580078125,4.212074290990131,1.9550465410138713,1.8667969169910066,0.38355758400575723,0.38338316600129474,hwsim
2026-08-28_16-31-55,804643636,800,33,21,1.862645149230957e-07,0.0008258819580078125,4.236859208001988,1.968684541003313,1.887770332992659,0.36866645800182596,0.36850054100796115,hwsim
2026-08-28_16-33-12,603375969,800,33,21,1.862645149230957e-07,0.0008258819580078125,4.23764087499876,1.8894797910033958,1.9629307919967687,0.368967041009455,0.3688136669952655,hwsim
2026-08-28_16-34-39,952574531,800,33,21,1.862645149230957e-07,0.0008258819580078125,4.262237666989677,1.9728841670003021,1.8825682500028051,0.40109037500224076,0.40093312499811873,hwsim
2026-08-28_16-36-09,9809764,800,33,21,1.862645149230957e-07,0.0008258819580078125,4.115818624995882,1.887397875005263,1.8729272080090595,0.3499247080035275,0.3497782080085017,hwsim
